video_id,video_title,video_time,video_tag,video_views
3yL0klflL0M,Abs Workout to Get 11 Line Abs | 10 Min Hourglass Abs Workout At Home,658,"ab , ab workout , ab exercise , 11 ab , 11 ab workout , 11 ab workout woman , low ab workout , low ab workout , intense ab workout , 10 minute ab , flat belly exercise , flat belly workout , flat belly 30 day , ab workout program , ab program , workout , exercise , flat stomach , flat tummy , 10 min ab workout , 30 day ab challenge , 11 , 11 ab , 11 ab , ab , good ab , good ab workout , ab female , ab girl , chloe ting ab , ab , sexy ab",2845917
9g29dCXHOSI,Small Waist & Round Butt Workout | Hourglass Program at Home,967,"tiny waist , waist , hourglass , hourglass figure , booty , booty workout , butt , butt workout , booty band workout , resistance band workout , booty band exercise , booty exercise , ab butt workout , waist butt workout , tiny waist workout , round butt workout , bubble butt workout , butt workout , workout butt , ab workout , ab , ab butt , hourglass workout , hourglass exercise , grow butt , grow butt equipment , butt exercise , grow booty",2351001
ihYNJjykVIA,Mirror Workout - SNL,317,"snl , saturday night live , season 46 , snl 46 , snl host , nick jonas , nick jonas snl , mirror workout , mirror workout saturday night live , pete davidson , mikey day , heidi gardner , kate mckinnon , chris redd , workout mirror , workout instructor , black void , curse , witch , safeway , trap , , , episode 13 , live , york , comedy , sketch , funny , hilarious , late night , host , music , guest , laugh , impersonation , actor , musician , nick jona , jonas brother , kevin jonas , joe jonas",2171192
5_wW9MmSxq0,10 MIN LOVE DANCE WORKOUT - burn calories to Oldies Love Songs / Pamela Reif I No Equipment,632,"workout , training , ab , , tummy , stomach , exercise , , workout , equipment , sport , body fat , , lose weight , fit , healthy , strong , weight , bodyweight , pamela , muscle , , maddie , song , good mood , dance , choreography , happy , fun , chloe ting , quarantine , dancing , cardio , sweat , butt , booty , warm , beginner , easy , anfänger , burn calorie , jane fonda , 80 , music , disco , 90 , colour , chop daily , shake , squat , 70 , 2000s , oldie , throwback , romantic , abnehmen",1812396
72MQmD8Z9Zw,"6 MIN EVERYDAY STRETCH - for stiff muscles, flexibility & after your workout I Pamela Reif",463,"workout , training , ab , , flat , tummy , stomach , exercise , , workout , equipment , sport , body fat , lose weight , fit , healthy , strong , instagram , low ab , , kurz , keine , weight , bodyweight , pamela , muscle , , , beginner , leicht , easy , chloe ting , maddie , medium , corona , , quarantine , stretch , yoga , flexible , cooldown , workout , bed , sore , stiff , split , , quick , flexibility , stretching , hip , spine , sit , office , back , pain , desk , neck",1785123
k7nV8Gyn56o,10 MIN BEST OF HIIT - a compilation of the best parts of my HIIT workouts - INTENSE I Pamela Reif,635,"workout , training , ab , , flat , tummy , stomach , exercise , , workout , equipment , sport , body fat , , lose weight , fit , healthy , strong , instagram , keine , weight , , pamela , muscle , , , song , good mood , dance , happy , fun , bikini , summer , minute , chloe ting , quarantine , dancing , cardio , sweat , butt , booty , burn calorie , music , hip , marshall , gute laune , choreo , hiit , high intensity , burn , fat , calorie , happy sweat , 12min , , fat burn",1804485
G-O4KemrleI,Can We Survive BATMAN'S BILLIONAIRE WORKOUT? | Movie vs Reality,787,"buff dude , batman , batman workout , batman training , training montage , montage , batman movie , workout , training , movie , challenge , test , zack snyder justice league , zack snyder , justice league",1589715
S_gIr7FfWi4,Push Up Challenge That Will Change Your Life (30 DAYS RESULTS),473,"push , workout , chest workout",1762535
GtFO7P8sr0E,BED - Joel Corry x RAYE x David Guetta / BOXING WARM UP ROUTINE I Pamela Reif,188,"workout , training , ab , , flat , tummy , stomach , exercise , , workout , equipment , sport , body fat , lose weight , fit , healthy , strong , instagram , weight , pamela , muscle , , , maddie , song , good mood , dance , choreography , happy , fun , bikini , summer , minute , chloe ting , quarantine , dancing , cardio , butt , booty , warm , burn calorie , music , marshall , gute laune , choreo , , fitness blender , punch , box , arm , flabby , body , hiit , sweat , calorie",1370562
BCZjD3TBVJI,Hourglass Side Booty Workout | Hip Dips Workout - Hourglass Program,670,"tiny waist , waist , hourglass , hourglass figure , booty , booty workout , butt , butt workout , booty band workout , resistance band workout , booty band exercise , booty exercise , ab butt workout , waist butt workout , tiny waist workout , round butt workout , bubble butt workout , butt workout , workout butt , ab workout , ab , ab butt , hourglass workout , hourglass exercise , grow butt , grow butt equipment , butt exercise , grow booty",1346709
